Name,Price,Review_count,Star
Sakura Teppanyaki & Sushi,$$,121,3
Teppanyaki Kyoto,$$,320,4.5
Umami,$$,188,4
Kiku Japanese Restaurant,$$,140,4
Yoshino,$$,35,4.5
Fujiya Ramen,$$,124,4
Ginza,$$,172,4
Chaya Japanese Cuisine,$$,226,3.5
Oishii Bento,$$,181,4
Sushi Tomo,$$,297,4
Yuzu Kitchen,$$,334,3.5
Oya Sushi & Korean Grill,$$,153,4
Ramen Bar,$$,23,3.5
No. 1 Sushi Sushi,$$,141,4
Little Tokyo,$$,134,4.5
Little Tokyo Bistro,$$,196,4
Sapporo Japanese Steakhouse,$$$,119,4.5
Yukiyama Japanese Restaurant,$$,105,3
Benihana,$$,31,3.5
Sushi Bomb,$$,235,3.5
Watami Hibachi Steakhouse,$,69,4.5
Sushi Fuku - Oakland Ave,$$,187,4
Ki Ramen,$,157,4
Ichiban,$$,106,3.5
Sushi Too,$$,4,4
Ichiban Hibachi Steakhouse,$$,153,3
Sakura Teppanyaki & Sushi,$$,107,3.5
Zen’s Noodle House,$$,98,3.5
Saga Hibachi Steakhouse & Sushi Bar,$$,121,3
Social House Seven,$$,88,4.5
Love Ramen,$$,340,3.5
Sakura Teppanyaki & Sushi,$$$$,121,3
Umi - Temp. CLOSED,$,397,4
T-Swirl Crepe,$$,129,4.5
Hokkaido Seafood Buffet,$$$,84,3
Nakama,$$,249,3
Yama Sushi,$$,156,4.5
Ichiban Hibachi Steakhouse & Sushi Bar,$,34,3.5
Sushi Fuku,$$,95,3
K Asian Bistro,$$,104,4.5
Taipei Tokyo,$$,144,4
Katana,$$$,204,3
Soba - Temp. CLOSED,$$,364,4
Yokoso Japanese Steakhouse,$$,101,3
Asahi All You Can Eat Hibachi & Sushi Bar,$$,35,3.5
Mad Noodles,$$$,43,3.5
Shogun Japanese Steak House,$,155,3
Hong Kong Taste,$$,88,3
Yama Japanese Restaurant,$$,34,4.5
Shanghai Tokyo Restaurant & Sushi Bar,$,83,4
Sarku Japan,$$,18,3
Moon Sushi,$,30,3
Saga Steakhouse & Sushi Bar - Cranberry Township,$$,46,3
Sarku Japan,$$,101,4
Fusion Japanese Steakhouse,$$,85,4.5
Ryu Gin Japanese Restaurant,$$,1,4
Tokyo Hibachi and Sushi,$$,1,3.5
